날짜,시도지역코드,발생건수(건)
2014-01-14,44,18294
2014-01-14,45,17739
2014-01-14,46,17251
2014-01-14,47,20740
2014-01-14,48,26487
2014-01-14,49,5684
2014-01-14,99,407483
2014-01-15,11,78731
2014-01-15,26,29873
2014-01-15,27,18581
2014-01-15,28,22690
2014-01-15,29,12329
2014-01-15,30,12566
2014-01-15,31,10543
2014-01-15,41,97222
2014-01-15,42,9888
2014-01-15,43,11664
2014-01-15,44,17632
2014-01-15,45,17430
2014-01-15,46,16956
2014-01-15,47,20150
2014-01-15,48,26511
2014-01-15,49,5844
2014-01-15,99,408788
2014-01-16,11,80837
2014-01-16,26,30848
2014-01-16,27,19353
2014-01-16,28,23669
2014-01-16,29,12739
2014-01-16,30,13308
2014-01-16,31,10659
2014-01-16,41,101603
2014-01-16,42,10660
2014-01-16,43,12341
2014-01-16,44,18810
2014-01-16,45,18227
2014-01-16,46,17667
2014-01-16,47,20942
2014-01-16,48,27327
2014-01-16,49,6133
2014-01-16,99,425300
2014-01-17,11,86235
2014-01-17,26,32595
2014-01-17,27,20169
2014-01-17,28,24533
2014-01-17,29,13172
2014-01-17,30,13510
2014-01-17,31,11160
2014-01-17,41,105986
2014-01-17,42,11336
2014-01-17,43,12810
2014-01-17,44,19227
2014-01-17,45,19759
2014-01-17,46,18155
2014-01-17,47,22365
2014-01-17,48,28466
2014-01-17,49,6650
2014-01-17,99,446309
2014-01-18,11,79467
2014-01-18,26,29118
2014-01-18,27,19904
2014-01-18,28,23582
2014-01-18,29,12931
2014-01-18,30,13429
2014-01-18,31,10437
2014-01-18,41,102800
2014-01-18,42,9463
2014-01-18,43,11600
2014-01-18,44,16817
2014-01-18,45,16359
2014-01-18,46,15500
2014-01-18,47,18973
2014-01-18,48,24973
2014-01-18,49,5724
2014-01-18,99,411233
2014-01-19,11,9770
2014-01-19,26,4792
2014-01-19,27,2977
2014-01-19,28,5313
2014-01-19,29,2864
2014-01-19,30,3558
2014-01-19,31,2487
2014-01-19,41,23030
2014-01-19,42,1637
2014-01-19,43,3098
2014-01-19,44,3806
2014-01-19,45,3551
2014-01-19,46,4341
2014-01-19,47,3197
2014-01-19,48,4519
2014-01-19,49,2308
2014-01-19,99,81285
2014-01-20,11,119605
2014-01-20,26,45406
2014-01-20,27,29198
2014-01-20,28,33944
2014-01-20,29,19639
2014-01-20,30,18329
2014-01-20,31,16232
2014-01-20,41,147363
2014-01-20,42,15541
2014-01-20,43,17443
2014-01-20,44,27041
2014-01-20,45,27629
2014-01-20,46,25913
2014-01-20,47,31676
2014-01-20,48,41319
2014-01-20,49,9455
2014-01-20,99,625999
2014-01-21,11,88186
2014-01-21,26,31812
2014-01-21,27,20470
2014-01-21,28,26143
2014-01-21,29,12512
2014-01-21,30,13396
2014-01-21,31,11662
2014-01-21,41,112403
2014-01-21,42,10363
2014-01-21,43,12810
2014-01-21,44,18921
2014-01-21,45,17081
2014-01-21,46,17166
2014-01-21,47,22506
2014-01-21,48,28720
2014-01-21,49,6589
2014-01-21,99,450930
2014-01-22,11,92010
2014-01-22,26,32448
2014-01-22,27,20627
2014-01-22,28,27134
2014-01-22,29,13618
2014-01-22,30,14384
2014-01-22,31,12031
2014-01-22,41,114796
2014-01-22,42,11210
2014-01-22,43,13771
2014-01-22,44,19828
2014-01-22,45,19008
2014-01-22,46,18882
2014-01-22,47,23321
2014-01-22,48,28878
2014-01-22,49,7111
2014-01-22,99,469262
2014-01-23,11,95412
2014-01-23,26,34357
2014-01-23,27,21804
2014-01-23,28,27702
2014-01-23,29,14379
2014-01-23,30,14620
2014-01-23,31,12424
2014-01-23,41,120768
2014-01-23,42,12211
2014-01-23,43,14321
2014-01-23,44,20798
2014-01-23,45,19495
2014-01-23,46,19313
2014-01-23,47,24641
2014-01-23,48,30466
2014-01-23,49,7131
2014-01-23,99,490062
2014-01-24,11,105379
2014-01-24,26,36178
2014-01-24,27,22991
2014-01-24,28,29674
2014-01-24,29,15001
2014-01-24,30,15223
2014-01-24,31,12990
2014-01-24,41,128608
2014-01-24,42,13597
2014-01-24,43,15343
2014-01-24,44,22395
2014-01-24,45,20778
2014-01-24,46,20086
2014-01-24,47,25853
2014-01-24,48,31702
2014-01-24,49,7604
2014-01-24,99,523593
2014-01-25,11,93775
2014-01-25,26,32292
2014-01-25,27,21855
2014-01-25,28,28175
2014-01-25,29,13596
2014-01-25,30,15468
2014-01-25,31,11851
2014-01-25,41,120243
2014-01-25,42,11087
2014-01-25,43,13611
2014-01-25,44,18980
2014-01-25,45,17043
2014-01-25,46,16821
2014-01-25,47,21606
2014-01-25,48,27449
2014-01-25,49,6626
2014-01-25,99,470686
2014-01-26,11,10919
2014-01-26,26,4759
2014-01-26,27,3149
2014-01-26,28,5337
2014-01-26,29,3318
2014-01-26,30,4124
2014-01-26,31,2940
2014-01-26,41,25770
2014-01-26,42,1719
2014-01-26,43,3799
2014-01-26,44,4107
2014-01-26,45,3619
2014-01-26,46,4748
2014-01-26,47,3630
2014-01-26,48,4983
2014-01-26,49,2661
2014-01-26,99,89631
2014-01-27,11,157772
2014-01-27,26,52202
2014-01-27,27,34413
2014-01-27,28,46258
2014-01-27,29,21582
2014-01-27,30,22541
2014-01-27,31,18945
2014-01-27,41,196820
2014-01-27,42,19967
2014-01-27,43,22050
2014-01-27,44,33367
2014-01-27,45,29622
2014-01-27,46,28946
2014-01-27,47,38080
2014-01-27,48,46357
2014-01-27,49,10156
2014-01-27,99,779400
2014-01-28,11,123011
2014-01-28,26,41180
2014-01-28,27,27756
2014-01-28,28,35944
2014-01-28,29,17508
2014-01-28,30,18295
2014-01-28,31,15064
2014-01-28,41,154474
2014-01-28,42,16038
2014-01-28,43,18246
2014-01-28,44,26724
2014-01-28,45,23087
2014-01-28,46,23660
2014-01-28,47,30884
2014-01-28,48,37322
2014-01-28,49,8328
2014-01-28,99,617776
2014-01-29,11,175329
2014-01-29,26,56224
2014-01-29,27,37320
2014-01-29,28,50244
2014-01-29,29,22239
2014-01-29,30,24737
2014-01-29,31,20656
2014-01-29,41,213197
2014-01-29,42,20217
2014-01-29,43,22290
2014-01-29,44,33706
2014-01-29,45,29201
2014-01-29,46,28572
2014-01-29,47,39616
2014-01-29,48,47925
2014-01-29,49,9926
2014-01-29,99,831722
2014-01-30,11,25001
2014-01-30,26,11550
2014-01-30,27,11191
2014-01-30,28,9843
2014-01-30,29,6283
2014-01-30,30,8109
2014-01-30,31,4414
2014-01-30,41,41905
2014-01-30,42,4642
2014-01-30,43,6891
2014-01-30,44,9048
2014-01-30,45,8564
2014-01-30,46,9229
2014-01-30,47,10278
2014-01-30,48,11476
2014-01-30,49,4106
2014-01-30,99,182620
2014-01-31,11,9286
2014-01-31,26,2732
2014-01-31,27,1743
2014-01-31,28,2989
2014-01-31,29,2086
2014-01-31,30,3191
2014-01-31,31,1207
2014-01-31,41,13570
2014-01-31,42,1257
2014-01-31,43,2779
2014-01-31,44,2547
2014-01-31,45,2463
2014-01-31,46,2917
2014-01-31,47,2300
2014-01-31,48,3679
2014-01-31,49,1584
2014-01-31,99,56356
2014-02-01,11,25332
2014-02-01,26,7620
2014-02-01,27,6510
2014-02-01,28,9815
2014-02-01,29,5548
2014-02-01,30,7304
2014-02-01,31,3519
2014-02-01,41,42474
2014-02-01,42,3614
2014-02-01,43,6402
2014-02-01,44,7854
2014-02-01,45,6701
2014-02-01,46,7375
2014-02-01,47,6483
2014-02-01,48,9131
2014-02-01,49,3247
2014-02-01,99,159001
2014-02-02,11,20208
2014-02-02,26,8240
2014-02-02,27,5566
2014-02-02,28,9894
2014-02-02,29,4325
2014-02-02,30,6605
2014-02-02,31,3935
2014-02-02,41,40906
2014-02-02,42,2990
2014-02-02,43,5885
2014-02-02,44,6346
2014-02-02,45,5107
2014-02-02,46,6438
2014-02-02,47,6048
2014-02-02,48,7835
2014-02-02,49,2965
2014-02-02,99,143359
2014-02-03,11,205089
2014-02-03,26,60978
2014-02-03,27,43947
2014-02-03,28,58952
2014-02-03,29,24886
2014-02-03,30,30163
2014-02-03,31,22375
2014-02-03,41,248069
2014-02-03,42,25836
2014-02-03,43,28457
2014-02-03,44,42612
2014-02-03,45,34298
2014-02-03,46,33157
2014-02-03,47,48587
2014-02-03,48,56956
2014-02-03,49,10750
2014-02-03,99,975512
2014-02-04,11,110614
2014-02-04,26,35972
2014-02-04,27,26568
2014-02-04,28,33435
2014-02-04,29,14925
2014-02-04,30,18739
2014-02-04,31,13105
2014-02-04,41,138784
2014-02-04,42,15808
2014-02-04,43,18093
2014-02-04,44,25431
2014-02-04,45,20997
2014-02-04,46,20626
2014-02-04,47,29094
2014-02-04,48,32848
2014-02-04,49,6926
2014-02-04,99,562154
2014-02-05,11,120122
2014-02-05,26,38345
2014-02-05,27,27860
2014-02-05,28,35226
2014-02-05,29,15373
2014-02-05,30,19792
2014-02-05,31,13905
2014-02-05,41,147832
2014-02-05,42,15515
2014-02-05,43,18687
2014-02-05,44,25927
2014-02-05,45,21645
2014-02-05,46,21197
2014-02-05,47,30008
2014-02-05,48,34682
2014-02-05,49,6926
2014-02-05,99,593241
2014-02-06,11,123332
2014-02-06,26,38752
2014-02-06,27,29515
2014-02-06,28,37494
2014-02-06,29,16200
2014-02-06,30,20865
2014-02-06,31,13712
2014-02-06,41,156558
2014-02-06,42,16869
2014-02-06,43,19786
2014-02-06,44,28119
2014-02-06,45,23095
2014-02-06,46,20447
2014-02-06,47,31876
2014-02-06,48,35656
2014-02-06,49,6792
2014-02-06,99,619306
2014-02-07,11,126587
2014-02-07,26,37908
2014-02-07,27,29830
2014-02-07,28,37462
2014-02-07,29,16021
2014-02-07,30,21259
2014-02-07,31,13504
2014-02-07,41,158041
2014-02-07,42,15690
2014-02-07,43,20050
2014-02-07,44,28432
2014-02-07,45,23788
2014-02-07,46,22180
2014-02-07,47,31515
2014-02-07,48,35565
2014-02-07,49,7173
2014-02-07,99,625263
2014-02-08,11,114527
2014-02-08,26,36562
2014-02-08,27,29237
2014-02-08,28,35114
2014-02-08,29,15403
2014-02-08,30,21232
2014-02-08,31,12936
2014-02-08,41,147803
