성별,적발횟수,나이,알콜농도,측정일시,관할경찰서
남자,1,38,0.137,2022-07-01 02:26:00,포항남부경찰서
남자,1,26,0.181,2022-07-01 02:33:00,화성동탄경찰서
남자,1,37,0.144,2022-07-01 02:35:00,광주서부경찰서
남자,1,25,0.142,2022-07-01 02:37:00,청주청원경찰서
남자,1,33,0.238,2022-07-01 02:38:00,성남중원경찰서
남자,1,30,0.113,2022-07-01 02:38:00,대구남부경찰서
남자,1,53,0.117,2022-07-01 02:38:00,부산연제경찰서
남자,1,54,0.061,2022-07-01 02:38:00,홍성경찰서
남자,1,34,0.149,2022-07-01 02:43:00,화성서부경찰서
남자,1,28,0.147,2022-07-01 02:50:00,서울성북경찰서
남자,1,61,0.15,2022-07-01 02:51:00,남해경찰서
남자,1,27,0.235,2022-07-01 02:54:00,시흥경찰서
남자,1,46,0.148,2022-07-01 03:00:00,인천남동경찰서
남자,1,36,0.15,2022-07-01 03:03:00,용인동부경찰서
남자,1,49,0.156,2022-07-01 03:06:00,광주동부경찰서
남자,1,22,0.087,2022-07-01 03:10:00,서울강남경찰서
남자,1,67,0.183,2022-07-01 03:11:00,서울양천경찰서
남자,1,34,0.1,2022-07-01 03:17:00,대구남부경찰서
남자,1,22,0.096,2022-07-01 03:22:00,영천경찰서
남자,1,42,0.152,2022-07-01 03:30:00,청주청원경찰서
여자,1,40,0.074,2022-07-01 03:36:00,천안서북경찰서
남자,1,51,0.108,2022-07-01 03:37:00,대전유성경찰서
남자,1,32,0.1,2022-07-01 03:38:00,인천논현경찰서
남자,1,44,0.122,2022-07-01 03:38:00,부천원미경찰서
남자,1,45,0.127,2022-07-01 03:40:00,김천경찰서
남자,1,23,0.132,2022-07-01 03:40:00,청주흥덕경찰서
여자,1,44,0.115,2022-07-01 03:44:00,진해경찰서
남자,1,37,0.052,2022-07-01 03:45:00,서울중부경찰서
여자,1,53,0.128,2022-07-01 03:47:00,서귀포경찰서
여자,1,52,0.123,2022-07-01 04:00:00,대구달서경찰서
남자,1,28,0.228,2022-07-01 04:03:00,창원중부경찰서
남자,1,34,0.121,2022-07-01 04:05:00,하남경찰서
남자,1,25,0.085,2022-07-01 04:08:00,용인동부경찰서
남자,1,39,0.066,2022-07-01 04:10:00,울산북부경찰서
남자,1,51,0.152,2022-07-01 04:10:00,화성서부경찰서
남자,1,50,0.086,2022-07-01 04:13:00,남양주북부경찰서
남자,1,59,0.173,2022-07-01 04:22:00,서산경찰서
남자,1,42,0.115,2022-07-01 04:32:00,대구달서경찰서
남자,1,31,0.135,2022-07-01 04:33:00,부산남부경찰서
여자,1,35,0.173,2022-07-01 04:42:00,대전둔산경찰서
남자,1,49,0.137,2022-07-01 04:46:00,부산금정경찰서
남자,1,41,0.136,2022-07-01 04:55:00,남양주북부경찰서
남자,1,47,0.183,2022-07-01 05:01:00,당진경찰서
남자,1,46,0.144,2022-07-01 05:13:00,사천경찰서
남자,1,26,0.147,2022-07-01 05:17:00,수원중부경찰서
남자,1,27,0.093,2022-07-01 05:20:00,부천원미경찰서
남자,1,38,0.114,2022-07-01 05:21:00,분당경찰서
남자,1,24,0.147,2022-07-01 05:31:00,청주청원경찰서
남자,1,40,0.189,2022-07-01 05:31:00,서울동작경찰서
남자,1,43,0.171,2022-07-01 05:33:00,광명경찰서
남자,1,29,0.141,2022-07-01 05:35:00,인천중부경찰서
남자,1,50,0.098,2022-07-01 05:45:00,홍천경찰서
남자,1,69,0.058,2022-07-01 05:45:00,울산울주경찰서
남자,1,40,0.107,2022-07-01 05:57:00,서울강북경찰서
남자,1,29,0.142,2022-07-01 05:57:00,대전대덕경찰서
남자,1,56,0.061,2022-07-01 06:00:00,완주경찰서
여자,1,26,0.116,2022-07-01 06:02:00,부산연제경찰서
남자,1,48,0.059,2022-07-01 06:06:00,울산울주경찰서
남자,1,27,0.059,2022-07-01 06:07:00,울산울주경찰서
남자,1,69,0.042,2022-07-01 06:14:00,홍천경찰서
남자,1,45,0.115,2022-07-01 06:14:00,서울성북경찰서
남자,1,45,0.05,2022-07-01 06:24:00,안산상록경찰서
남자,1,31,0.149,2022-07-01 06:33:00,대전유성경찰서
남자,1,37,0.111,2022-07-01 06:41:00,서울혜화경찰서
남자,1,23,0.161,2022-07-01 06:47:00,대전동부경찰서
남자,1,49,0.132,2022-07-01 07:01:00,서울수서경찰서
남자,1,69,0.048,2022-07-01 07:22:00,인천서부경찰서
남자,1,48,0.15,2022-07-01 07:27:00,부산기장경찰서
남자,1,52,0.253,2022-07-01 07:28:00,강릉경찰서
남자,1,33,0.098,2022-07-01 07:46:00,서울영등포경찰서
남자,1,26,0.083,2022-07-01 08:07:00,서울강서경찰서
여자,1,65,0.084,2022-07-01 08:10:00,전주덕진경찰서
남자,1,34,0.138,2022-07-01 08:27:00,서울송파경찰서
남자,1,27,0.239,2022-07-01 08:47:00,서울용산경찰서
남자,1,29,0.197,2022-07-01 09:16:00,강릉경찰서
남자,1,23,0.049,2022-07-01 09:43:00,인천서부경찰서
남자,1,31,0.194,2022-07-01 09:46:00,용인동부경찰서
남자,1,49,0.212,2022-07-01 09:51:00,마산중부경찰서
남자,1,64,0.035,2022-07-01 10:20:00,용인동부경찰서
남자,1,72,0.041,2022-07-01 10:24:00,순천경찰서
여자,1,36,0.269,2022-07-01 11:26:00,서울송파경찰서
남자,1,42,0.236,2022-07-01 11:31:00,김포경찰서
남자,1,28,0.128,2022-07-01 12:12:00,서울성동경찰서
남자,1,55,0.325,2022-07-01 12:31:00,부여경찰서
남자,1,48,0.255,2022-07-01 13:23:00,음성경찰서
남자,1,63,0.059,2022-07-01 13:23:00,논산경찰서
남자,1,31,0.034,2022-07-01 13:30:00,울산남부경찰서
남자,1,58,0.072,2022-07-01 13:35:00,함평경찰서
남자,1,51,0.191,2022-07-01 14:01:00,남양주남부경찰서
남자,1,61,0.035,2022-07-01 14:11:00,포천경찰서
남자,1,56,0.212,2022-07-01 14:14:00,인천계양경찰서
남자,1,53,0.196,2022-07-01 14:26:00,함양경찰서
남자,1,51,0.149,2022-07-01 14:34:00,영천경찰서
남자,1,65,0.166,2022-07-01 15:02:00,안산상록경찰서
여자,1,49,0.063,2022-07-01 15:16:00,경산경찰서
남자,1,71,0.13,2022-07-01 15:19:00,서산경찰서
남자,1,40,0.075,2022-07-01 15:54:00,서울강동경찰서
남자,1,67,0.154,2022-07-01 16:14:00,화성서부경찰서
남자,1,39,0.191,2022-07-01 16:26:00,청주청원경찰서
남자,1,67,0.063,2022-07-01 16:37:00,인천미추홀경찰서
남자,1,60,0.186,2022-07-01 16:59:00,부천소사경찰서
남자,1,62,0.059,2022-07-01 17:09:00,안동경찰서
남자,1,37,0.144,2022-07-01 17:14:00,용인동부경찰서
남자,1,73,0.046,2022-07-01 17:16:00,보령경찰서
남자,1,26,0.138,2022-07-01 17:20:00,서울금천경찰서
남자,1,56,0.144,2022-07-01 17:22:00,영암경찰서
남자,1,77,0.167,2022-07-01 17:22:00,울산중부경찰서
여자,1,56,0.078,2022-07-01 17:29:00,제주서부경찰서
남자,1,59,0.212,2022-07-01 17:53:00,하남경찰서
남자,1,80,0.112,2022-07-01 18:02:00,안성경찰서
남자,1,57,0.216,2022-07-01 18:03:00,대구달성경찰서
남자,1,55,0.153,2022-07-01 18:04:00,부산해운대경찰서
남자,1,42,0.196,2022-07-01 18:08:00,익산경찰서
남자,1,58,0.192,2022-07-01 18:23:00,안산단원경찰서
남자,1,53,0.111,2022-07-01 18:38:00,평택경찰서
남자,1,38,0.157,2022-07-01 18:39:00,경산경찰서
남자,1,41,0.092,2022-07-01 18:46:00,하남경찰서
남자,1,82,0.142,2022-07-01 18:51:00,대구수성경찰서
남자,1,59,0.206,2022-07-01 18:52:00,인천계양경찰서
남자,1,40,0.222,2022-07-01 19:13:00,청송경찰서
남자,1,41,0.237,2022-07-01 19:15:00,전주완산경찰서
남자,1,39,0.137,2022-07-01 19:19:00,서울영등포경찰서
남자,1,52,0.057,2022-07-01 19:20:00,의정부경찰서
남자,1,61,0.07,2022-07-01 19:21:00,남양주북부경찰서
남자,1,57,0.213,2022-07-01 19:33:00,대구수성경찰서
남자,1,49,0.06,2022-07-01 19:34:00,진천경찰서
남자,1,38,0.088,2022-07-01 20:03:00,부산동부경찰서
남자,1,53,0.151,2022-07-01 20:11:00,서울양천경찰서
남자,1,60,0.092,2022-07-01 20:11:00,정읍경찰서
남자,1,54,0.188,2022-07-01 20:16:00,아산경찰서
남자,1,47,0.182,2022-07-01 20:26:00,수원서부경찰서
남자,1,61,0.093,2022-07-01 20:27:00,진주경찰서
여자,1,63,0.138,2022-07-01 20:32:00,칠곡경찰서
남자,1,67,0.131,2022-07-01 20:36:00,고양경찰서
남자,1,52,0.07,2022-07-01 20:37:00,인천계양경찰서
남자,1,61,0.091,2022-07-01 20:40:00,울산울주경찰서
남자,1,58,0.059,2022-07-01 20:52:00,함안경찰서
여자,1,43,0.186,2022-07-01 20:53:00,하동경찰서
여자,1,36,0.152,2022-07-01 20:59:00,천안서북경찰서
남자,1,35,0.252,2022-07-01 21:01:00,양산경찰서
남자,1,41,0.079,2022-07-01 21:04:00,홍성경찰서
남자,1,34,0.04,2022-07-01 21:06:00,평택경찰서
남자,1,36,0.069,2022-07-01 21:08:00,제주동부경찰서
남자,1,64,0.149,2022-07-01 21:09:00,서울강서경찰서
남자,1,36,0.268,2022-07-01 21:10:00,광주남부경찰서
남자,1,62,0.067,2022-07-01 21:12:00,제주서부경찰서
여자,1,42,0.04,2022-07-01 21:13:00,안성경찰서
남자,1,35,0.107,2022-07-01 21:14:00,청주상당경찰서
남자,1,38,0.121,2022-07-01 21:15:00,경남고성경찰서
남자,1,71,0.096,2022-07-01 21:16:00,부산영도경찰서
