날짜,시도지역코드,발생건수(건)
2014-01-15,11,6350
2014-01-15,26,2167
2014-01-15,27,1784
2014-01-15,28,2115
2014-01-15,29,1489
2014-01-15,30,875
2014-01-15,31,919
2014-01-15,41,8087
2014-01-15,42,1015
2014-01-15,43,1191
2014-01-15,44,1610
2014-01-15,45,1843
2014-01-15,46,1944
2014-01-15,47,1992
2014-01-15,48,2496
2014-01-15,49,435
2014-01-15,99,36323
2014-01-16,11,6250
2014-01-16,26,2287
2014-01-16,27,1913
2014-01-16,28,2221
2014-01-16,29,1545
2014-01-16,30,927
2014-01-16,31,930
2014-01-16,41,8064
2014-01-16,42,990
2014-01-16,43,1254
2014-01-16,44,1816
2014-01-16,45,1773
2014-01-16,46,2008
2014-01-16,47,2116
2014-01-16,48,2633
2014-01-16,49,491
2014-01-16,99,37238
2014-01-17,11,6996
2014-01-17,26,2518
2014-01-17,27,2017
2014-01-17,28,2381
2014-01-17,29,1579
2014-01-17,30,1053
2014-01-17,31,974
2014-01-17,41,9068
2014-01-17,42,1088
2014-01-17,43,1391
2014-01-17,44,1817
2014-01-17,45,1897
2014-01-17,46,2047
2014-01-17,47,2287
2014-01-17,48,2805
2014-01-17,49,502
2014-01-17,99,40432
2014-01-18,11,6299
2014-01-18,26,2054
2014-01-18,27,1877
2014-01-18,28,2137
2014-01-18,29,1517
2014-01-18,30,979
2014-01-18,31,891
2014-01-18,41,8498
2014-01-18,42,834
2014-01-18,43,1184
2014-01-18,44,1566
2014-01-18,45,1593
2014-01-18,46,1776
2014-01-18,47,1946
2014-01-18,48,2350
2014-01-18,49,423
2014-01-18,99,35937
2014-01-19,11,600
2014-01-19,26,170
2014-01-19,27,263
2014-01-19,28,379
2014-01-19,29,262
2014-01-19,30,128
2014-01-19,31,139
2014-01-19,41,1386
2014-01-19,42,75
2014-01-19,43,172
2014-01-19,44,210
2014-01-19,45,195
2014-01-19,46,345
2014-01-19,47,243
2014-01-19,48,173
2014-01-19,49,51
2014-01-19,99,4792
2014-01-20,11,9105
2014-01-20,26,3432
2014-01-20,27,2823
2014-01-20,28,3256
2014-01-20,29,2191
2014-01-20,30,1409
2014-01-20,31,1298
2014-01-20,41,11656
2014-01-20,42,1457
2014-01-20,43,1739
2014-01-20,44,2388
2014-01-20,45,2674
2014-01-20,46,2926
2014-01-20,47,3100
2014-01-20,48,3841
2014-01-20,49,737
2014-01-20,99,54047
2014-01-21,11,6806
2014-01-21,26,2494
2014-01-21,27,1933
2014-01-21,28,2459
2014-01-21,29,1463
2014-01-21,30,980
2014-01-21,31,994
2014-01-21,41,9029
2014-01-21,42,914
2014-01-21,43,1329
2014-01-21,44,1685
2014-01-21,45,1722
2014-01-21,46,2005
2014-01-21,47,2196
2014-01-21,48,2740
2014-01-21,49,519
2014-01-21,99,39284
2014-01-22,11,7310
2014-01-22,26,2442
2014-01-22,27,1913
2014-01-22,28,2461
2014-01-22,29,1573
2014-01-22,30,1034
2014-01-22,31,1009
2014-01-22,41,9215
2014-01-22,42,1061
2014-01-22,43,1486
2014-01-22,44,1798
2014-01-22,45,1831
2014-01-22,46,2107
2014-01-22,47,2263
2014-01-22,48,2747
2014-01-22,49,534
2014-01-22,99,40792
2014-01-23,11,7219
2014-01-23,26,2576
2014-01-23,27,2054
2014-01-23,28,2622
2014-01-23,29,1632
2014-01-23,30,1109
2014-01-23,31,1010
2014-01-23,41,9546
2014-01-23,42,1128
2014-01-23,43,1463
2014-01-23,44,1924
2014-01-23,45,2066
2014-01-23,46,2175
2014-01-23,47,2489
2014-01-23,48,2820
2014-01-23,49,536
2014-01-23,99,42385
2014-01-24,11,8003
2014-01-24,26,2925
2014-01-24,27,2239
2014-01-24,28,2878
2014-01-24,29,1692
2014-01-24,30,1197
2014-01-24,31,1144
2014-01-24,41,10543
2014-01-24,42,1304
2014-01-24,43,1569
2014-01-24,44,2031
2014-01-24,45,2104
2014-01-24,46,2328
2014-01-24,47,2558
2014-01-24,48,3093
2014-01-24,49,635
2014-01-24,99,46257
2014-01-25,11,7268
2014-01-25,26,2227
2014-01-25,27,2065
2014-01-25,28,2563
2014-01-25,29,1622
2014-01-25,30,1077
2014-01-25,31,968
2014-01-25,41,9324
2014-01-25,42,957
2014-01-25,43,1348
2014-01-25,44,1627
2014-01-25,45,1678
2014-01-25,46,1953
2014-01-25,47,2155
2014-01-25,48,2492
2014-01-25,49,430
2014-01-25,99,39765
2014-01-26,11,728
2014-01-26,26,192
2014-01-26,27,310
2014-01-26,28,382
2014-01-26,29,296
2014-01-26,30,149
2014-01-26,31,146
2014-01-26,41,1575
2014-01-26,42,98
2014-01-26,43,177
2014-01-26,44,220
2014-01-26,45,252
2014-01-26,46,356
2014-01-26,47,327
2014-01-26,48,189
2014-01-26,49,58
2014-01-26,99,5458
2014-01-27,11,11707
2014-01-27,26,4067
2014-01-27,27,3256
2014-01-27,28,4327
2014-01-27,29,2400
2014-01-27,30,1699
2014-01-27,31,1602
2014-01-27,41,15084
2014-01-27,42,1804
2014-01-27,43,2210
2014-01-27,44,2808
2014-01-27,45,2987
2014-01-27,46,3216
2014-01-27,47,3717
2014-01-27,48,4449
2014-01-27,49,818
2014-01-27,99,66179
2014-01-28,11,9031
2014-01-28,26,3269
2014-01-28,27,2726
2014-01-28,28,3358
2014-01-28,29,2052
2014-01-28,30,1302
