날짜,시도지역코드,발생건수(건)
2014-01-15,11,7314
2014-01-15,26,2712
2014-01-15,27,2260
2014-01-15,28,1560
2014-01-15,29,881
2014-01-15,30,1132
2014-01-15,31,829
2014-01-15,41,8088
2014-01-15,42,1083
2014-01-15,43,1079
2014-01-15,44,1565
2014-01-15,45,1702
2014-01-15,46,1314
2014-01-15,47,2296
2014-01-15,48,2574
2014-01-15,49,523
2014-01-15,99,36922
2014-01-16,11,7110
2014-01-16,26,2631
2014-01-16,27,2331
2014-01-16,28,1565
2014-01-16,29,837
2014-01-16,30,1078
2014-01-16,31,815
2014-01-16,41,7730
2014-01-16,42,1172
2014-01-16,43,1053
2014-01-16,44,1594
2014-01-16,45,1787
2014-01-16,46,1433
2014-01-16,47,2430
2014-01-16,48,2368
2014-01-16,49,545
2014-01-16,99,36496
2014-01-17,11,7658
2014-01-17,26,2782
2014-01-17,27,2369
2014-01-17,28,1756
2014-01-17,29,923
2014-01-17,30,1218
2014-01-17,31,866
2014-01-17,41,8524
2014-01-17,42,1202
2014-01-17,43,1112
2014-01-17,44,1687
2014-01-17,45,1961
2014-01-17,46,1433
2014-01-17,47,2606
2014-01-17,48,2753
2014-01-17,49,620
2014-01-17,99,39479
2014-01-18,11,5880
2014-01-18,26,2035
2014-01-18,27,2101
2014-01-18,28,1371
2014-01-18,29,797
2014-01-18,30,975
2014-01-18,31,719
2014-01-18,41,6812
2014-01-18,42,790
2014-01-18,43,958
2014-01-18,44,1309
2014-01-18,45,1308
2014-01-18,46,1021
2014-01-18,47,1873
2014-01-18,48,2092
2014-01-18,49,440
2014-01-18,99,30488
2014-01-19,11,247
2014-01-19,26,64
2014-01-19,27,71
2014-01-19,28,82
2014-01-19,29,46
2014-01-19,30,50
2014-01-19,31,41
2014-01-19,41,434
2014-01-19,42,18
2014-01-19,43,54
2014-01-19,44,66
2014-01-19,45,91
2014-01-19,46,77
2014-01-19,47,38
2014-01-19,48,76
2014-01-19,49,47
2014-01-19,99,1505
2014-01-20,11,8217
2014-01-20,26,3529
2014-01-20,27,2890
2014-01-20,28,1913
2014-01-20,29,1209
2014-01-20,30,1304
2014-01-20,31,1090
2014-01-20,41,9234
2014-01-20,42,1314
2014-01-20,43,1306
2014-01-20,44,1941
2014-01-20,45,2376
2014-01-20,46,1881
2014-01-20,47,2944
2014-01-20,48,3278
2014-01-20,49,716
2014-01-20,99,45154
2014-01-21,11,7022
2014-01-21,26,2637
2014-01-21,27,2188
2014-01-21,28,1522
2014-01-21,29,774
